iteration,sample,radius,GaNzSpan,SapSpan,theta,power_output,status
14,1,1.6331609627311111e-06,1.6774909155837834e-06,2.7695152632836585e-06,36.647432899790736,8.174163928850568e-12,success
14,2,1.6783526418447156e-06,1.4820876548646066e-06,3.2094236438888718e-06,35.76134633377075,5.748461272524823e-12,success
14,3,1.7463643416226472e-06,1.6756830397157192e-06,3.4767507923796754e-06,35.79737020369208,2.656620964265376e-12,success
14,4,1.549311240741382e-06,1.495025236284579e-06,2.568675952710814e-06,32.98622953758366,1.1540580683590258e-12,success
14,5,1.7601787125647283e-06,1.6170645067396522e-06,2.798448494780706e-06,34.14542835307092,2.2777711219600173e-12,success
14,6,1.699022729922809e-06,1.7719198139789534e-06,3.164335068065023e-06,41.14608912060026,1.1308494548192256e-12,success
14,7,1.7041970680760677e-06,1.555343663762153e-06,3.020043379278349e-06,36.45390752070818,6.565316268067667e-12,success
14,8,1.7391522398631305e-06,1.4029674418014443e-06,2.2336278017247507e-06,32.75634832666113,8.953479516819604e-12,success
14,9,1.6333342944771641e-06,1.860204858821817e-06,3.037798999210475e-06,39.004098855530046,1.1107587851311186e-12,success
14,10,1.5155689900472167e-06,1.71712507639282e-06,3.3203271480359845e-06,39.37947359026974,2.1555933488834766e-12,success
15,1,1.3807537100801268e-06,1.5102200853988162e-06,3.3467323261456234e-06,36.253957090241435,7.137699136855694e-13,success
15,2,1.6575177863068514e-06,1.476614176404503e-06,2.9025709487842733e-06,43.61129044359526,4.871152363534373e-13,success
15,3,1.5252747057514678e-06,1.5932685166301802e-06,2.8287157216368056e-06,42.52832412931724,7.350331505335998e-13,success
15,4,1.3130258220166421e-06,1.7982664319188316e-06,2.7439030317049476e-06,38.509831288943595,4.492065314960747e-13,success
15,5,1.4600355699791567e-06,1.7847154345778837e-06,3.0316888364816436e-06,36.17356309300396,8.490021306554791e-13,success
15,6,1.4678177116374056e-06,1.715261391063632e-06,3.4818004626569025e-06,42.70452466093435,1.1142254945610807e-12,success
15,7,1.798561304554156e-06,1.6722888410038887e-06,3.1789677710337514e-06,34.18394208473262,2.9904508607296628e-12,success
15,8,1.425605406089176e-06,1.4416513895401936e-06,2.987154768643577e-06,35.40533232102557,4.2777536826394543e-13,success
15,9,1.539304226711323e-06,1.5726332674857076e-06,2.9010647040627473e-06,43.6487548470199,6.197423448703441e-13,success
15,10,1.4640841608172396e-06,1.2461723136259208e-06,3.4468533380610443e-06,36.759353157031136,6.416092439022228e-12,success
16,1,1.5591414465440779e-06,1.4803072549053974e-06,3.5366730130937045e-06,36.32569223845759,1.660695365564473e-12,success
16,2,1.5243943007093444e-06,1.37995453154463e-06,3.060096325092651e-06,39.438109126651305,2.080109305414438e-12,success
16,3,1.5275404217838995e-06,1.2620719914225706e-06,3.229113618750686e-06,36.88657197690139,1.2353084501364544e-11,success
16,4,1.4275923764005267e-06,1.5014113376754288e-06,3.6131068036717856e-06,40.36855151915121,9.431143712651752e-13,success
16,5,1.5836040664882432e-06,1.6556223212632698e-06,3.161749903007794e-06,35.90588203732593,2.5466888995519663e-12,success
16,6,1.7009486639422982e-06,1.504740895387947e-06,2.973104169100336e-06,29.22591195749977,2.9006200477301246e-12,success
16,7,1.5578528958097026e-06,1.6713351944072168e-06,2.9695814453043705e-06,31.512347265271625,5.960263006793355e-12,success
16,8,1.3907414721303998e-06,1.2976531458730225e-06,4.1131719746047934e-06,37.62928003435468,2.654917924499309e-12,success
16,9,1.3454505893199996e-06,1.6244161010370341e-06,2.6239811431077325e-06,44.11283531810038,7.018730415093075e-13,success
16,10,1.3724237421473523e-06,1.5757636876918166e-06,3.1283548692622038e-06,33.091280513738624,1.5982977059468479e-12,success
17,1,1.7664591764505162e-06,1.5490797843673237e-06,2.974537874567157e-06,33.569675034724284,3.57682027400195e-12,success
17,2,1.5455267847574213e-06,1.7026609273994786e-06,2.8575870794188974e-06,47.53461015523697,2.940678214623089e-13,success
17,3,1.6915921628764595e-06,1.523039774946506e-06,2.729577678372153e-06,34.78262092481827,7.980123537542272e-12,success
17,4,1.98273745046541e-06,1.6168953421717768e-06,3.2552192309610214e-06,43.87513954985109,2.2110627406146699e-13,success
17,5,1.4263044312622438e-06,1.5390497102425893e-06,3.4583231352838214e-06,43.48743050493993,3.624454927009665e-12,success
17,6,1.6923989578984426e-06,1.8223323908794236e-06,2.9270965154375815e-06,47.73186713105082,9.049872529974241e-13,success
17,7,1.6383549623444127e-06,1.439432284151882e-06,3.6898105395201384e-06,39.7804077094332,8.339134400570356e-13,success
17,8,1.6788974125846298e-06,1.6381311756785887e-06,3.0299202238580573e-06,33.67732132021025,5.2307866335740714e-12,success
17,9,1.2177562236987274e-06,1.5533301001144222e-06,3.1934011196205373e-06,40.620724561265014,4.697702433276771e-13,success
17,10,1.599714578298694e-06,1.6308471054308645e-06,3.211011640286657e-06,31.524382324139328,1.3496003566205628e-12,success
18,1,1.5660222845771236e-06,1.2644137563499123e-06,2.9061786281698574e-06,36.83925852390695,7.311547722715005e-12,success
18,2,1.4781228228206363e-06,1.8040612121093667e-06,3.234983269084144e-06,37.56669472066104,3.572722065265854e-12,success
18,3,1.6118912549739892e-06,1.7696938630513546e-06,3.1488822530660926e-06,39.67956275072097,1.8064259390734505e-12,success
18,4,1.7320625515783614e-06,1.486538246009406e-06,3.4067952380898126e-06,38.31311292388112,5.602517600489158e-13,success
18,5,1.660772311388037e-06,1.3881084944537666e-06,3.2196906303579815e-06,46.88450662670072,9.382965907119203e-13,success
18,6,1.4616677391998006e-06,1.680093458648418e-06,3.3574250198074973e-06,33.40327417941594,9.323864014411207e-13,success
18,7,1.7289675394154063e-06,1.356269479868538e-06,3.0261865930558312e-06,34.08367313110429,1.5860841545372086e-11,success
18,8,1.443922617645702e-06,1.1943865019275386e-06,3.520977092476507e-06,32.159108928585695,4.788578674841313e-12,success
18,9,1.5041371261335834e-06,1.6386386095161074e-06,2.613709979194061e-06,36.83576127091367,7.382492056670528e-13,success
18,10,1.5429983278588538e-06,1.6150067627901057e-06,3.3871981932925966e-06,31.246776785695808,2.4860283797731095e-12,success
19,1,1.488160707214817e-06,1.489851503090092e-06,3.1144159448875084e-06,25.579416813393017,3.2758252346380026e-12,success
19,2,1.6133184474302927e-06,1.5723502428024846e-06,2.901705047603393e-06,36.93157133980745,3.210196313084445e-12,success
19,3,1.5815952501188438e-06,1.5813287724188783e-06,3.247713111345322e-06,38.37070428332509,1.663088500397518e-12,success
19,4,1.553107082069667e-06,1.2933195414982547e-06,3.503557856118384e-06,36.03084028797468,1.7332077584924957e-12,success
19,5,1.5477276695282145e-06,1.298573691493953e-06,3.1508891891197563e-06,26.780852269353822,2.24141982389991e-12,success
19,6,1.7676507878456782e-06,1.5718147307384052e-06,3.530353516789947e-06,35.59246978347656,1.952889684947165e-12,success
19,7,1.7347790877316357e-06,1.5541819929835893e-06,2.9984286753569815e-06,42.79776011958333,2.0089028705173133e-12,success
19,8,1.421675146751126e-06,1.5514334682625177e-06,3.0816624482322325e-06,33.29948974569803,1.6127782824238175e-12,success
19,9,1.4495338888381437e-06,1.4102744309597596e-06,3.4545920195466525e-06,36.79066341538719,1.4844214182293056e-12,success
19,10,1.3402368809511867e-06,1.3223572850558705e-06,3.3718289999659952e-06,32.34835444552655,1.3852980529086034e-12,success
20,1,1.7309169473663062e-06,1.4818822569896995e-06,3.610503339018519e-06,35.065136452802285,1.0062392384073465e-11,success
20,2,1.7966641269615442e-06,1.3450685062473528e-06,2.83975601964346e-06,35.70464528304423,8.987408582271243e-13,success
20,3,1.5283873575751077e-06,1.3207927702443762e-06,3.021181970524661e-06,32.409810260504194,1.3670207589956487e-12,success
20,4,1.3736982102317458e-06,1.3019365914040727e-06,3.1054825155858084e-06,33.38798116118282,9.682061668562564e-13,success
20,5,1.5319644906616804e-06,1.6872059225498055e-06,2.5543000060533585e-06,31.575110678260764,1.1565000989346308e-12,success
20,6,1.4065762489543893e-06,1.6948510229352928e-06,3.2538314471503364e-06,27.22480686418423,2.5965460335153587e-12,success
20,7,1.6674647673225488e-06,1.319570046087809e-06,2.796656085491648e-06,37.346373756652525,2.0916837972817896e-12,success
20,8,1.594576800014108e-06,1.4189680818469368e-06,3.1083447976748304e-06,42.162142926303744,8.133277566378412e-13,success
20,9,1.3935842591427696e-06,1.4860015159334948e-06,3.130767500509347e-06,33.43943193199332,2.592989698040016e-12,success
20,10,1.4882373128458855e-06,1.4339077897386349e-06,3.5577805722827975e-06,35.0888526958781,1.5232830636892508e-12,success
21,1,1.5262707143183423e-06,1.5118046896741648e-06,2.5960547221469207e-06,38.22106522147601,3.2959794386668254e-12,success
21,2,1.3920670090155395e-06,1.4086571321829656e-06,3.62524008968376e-06,37.726029580387,2.5943498622065476e-12,success
21,3,1.3762068781401499e-06,1.4308116169886496e-06,2.465703485560874e-06,37.86470695084647,1.0282359878237614e-12,success
21,4,1.7790859040403757e-06,1.5795839670503388e-06,3.2100349203315044e-06,34.86480153213245,3.2941868005308636e-12,success
21,5,1.6790055134355358e-06,1.693419237475846e-06,3.684843750977306e-06,33.012599234497344,3.680516652442441e-12,success
21,6,1.4696485496453795e-06,1.229437656662153e-06,2.831602376183095e-06,34.853058613723704,7.362937751400341e-12,success
21,7,1.6573214357736775e-06,1.7293538551028968e-06,3.1538635824036174e-06,37.075892237273635,6.692391801675806e-12,success
21,8,1.7991178680060521e-06,1.5597862131444479e-06,3.5419713468435527e-06,37.71643446019041,1.1032182065306115e-12,success
21,9,1.365627860844521e-06,1.5798703612147526e-06,3.1144235724487447e-06,37.486927138329264,8.014868249925733e-13,success
21,10,1.5193053228219566e-06,1.9046693484540693e-06,3.2937243559612065e-06,33.81363698071936,1.5757307455286851e-12,success
22,1,1.5491759689119523e-06,1.3585400814998308e-06,2.9175362236229256e-06,36.2183872936557,6.5446422553287665e-12,success
22,2,1.5039237906801768e-06,1.5445991940093102e-06,3.2415398314030843e-06,49.34458202381215,5.702209289386008e-13,success
22,3,1.620263162301111e-06,1.5065930648005731e-06,3.4581967014670078e-06,33.35992996397564,2.797218152800526e-12,success
22,4,1.6002157923055054e-06,1.5279735891335915e-06,3.4979514400127913e-06,32.244783411630756,1.6856679704676996e-12,success
22,5,1.6737352982669783e-06,1.5440406939251896e-06,2.4873440298304843e-06,35.89686972801465,1.909966338692025e-12,success
22,6,1.444287699187318e-06,1.3081266250753e-06,3.1523770261115775e-06,38.40401595977704,2.1880448178174962e-12,success
22,7,1.6550866499224642e-06,1.587794531513021e-06,3.1212567912280113e-06,46.070181114119585,1.140623494013092e-12,success
22,8,1.5610603915626952e-06,1.5113933979580459e-06,2.909937900799865e-06,36.446780795976714,1.3056243352017018e-11,success
22,9,1.2652925970024912e-06,1.4253534973748842e-06,3.7802724200953644e-06,40.224951160308386,3.053828465310789e-12,success
22,10,1.6516459452195483e-06,1.3098282276780246e-06,3.1794374690501175e-06,29.90111198856257,4.7011820832205076e-12,success
