iteration,sample,x1,x2,x3,y1,y2,y3,power_output,status
7,6,7.655755180041681e-08,8.750683438796231e-07,-9.679999999999999e-07,-9.430662294525121e-07,5.400075201301524e-07,-3.91119119445098e-07,1.3418389416605836e-13,success
7,7,2.702924293786682e-07,9.679999999999999e-07,-8.767249940280494e-07,-1.5558276764803325e-07,6.675650851878428e-07,8.061203487544253e-07,1.2369175908852614e-13,success
7,8,4.587456756811164e-07,3.297719021119795e-07,-7.648311686454252e-07,-6.349414025735231e-07,4.748656432121641e-07,9.679999999999999e-07,2.432386794111702e-13,success
7,9,6.431272715049418e-07,6.348910677557564e-08,-5.083838649775993e-07,-4.2600342812904136e-07,5.534046817501712e-07,2.347883076105836e-07,2.1456120235555184e-14,success
7,10,-3.8584519989934033e-07,9.679999999999999e-07,4.741273775220708e-08,4.929941804955567e-08,1.0065273068846896e-07,9.679999999999999e-07,4.258174958680236e-14,success
8,1,4.785581017330916e-07,2.5306465328391714e-07,-8.580317951610696e-07,-9.679999999999999e-07,9.679999999999999e-07,6.759210877928396e-07,1.4485696812876239e-13,success
8,2,5.764641584759936e-09,4.5508604712800726e-07,-6.432485623559385e-07,-9.679999999999999e-07,5.704935570192829e-07,2.789820250890176e-07,1.4993458639026657e-13,success
8,3,2.3702977320866945e-07,9.072507088306025e-07,-9.679999999999999e-07,-7.498598798837132e-07,7.615316513592893e-07,3.077018798868728e-07,1.0045393771710152e-13,success
8,4,1.4169553796670043e-07,6.895639666569942e-07,-5.297182833123319e-07,-9.500490459260343e-07,9.679999999999999e-07,8.772021617747206e-07,3.261819694697656e-13,success
8,5,-3.8022335213437604e-07,7.895762498383151e-07,-6.147682350022502e-07,-3.360144147878289e-07,8.80203787948366e-07,5.64042697123154e-07,3.1104135757654364e-14,success
8,6,3.2858332188044673e-07,5.888764603073891e-07,-5.146291140294859e-08,-9.679999999999999e-07,2.9906669514419335e-07,4.003598454489541e-07,1.95061040746354e-13,success
8,7,-5.040768710727619e-07,7.8149660792021e-07,-6.593104985917134e-07,-9.679999999999999e-07,6.976282793624811e-07,4.380741453625501e-07,1.2150997528741577e-13,success
8,8,-8.41591828980103e-08,9.679999999999999e-07,-7.296956063433932e-07,-9.679999999999999e-07,6.099235347324009e-07,3.730036359075145e-07,1.1800733811794163e-13,success
8,9,-2.5855022792075486e-07,8.725073125595501e-07,-8.000013848104809e-07,-4.149131556428472e-07,3.420743285933143e-07,5.140278676656064e-07,2.274600052631326e-13,success
8,10,3.150382488207998e-07,-2.6492482846176516e-08,-4.834198762520206e-07,-5.099913286062694e-07,5.828184505115192e-07,8.776816714993972e-07,1.0247000579056809e-13,success
9,1,2.0904715580954034e-07,9.301175043480587e-07,-8.63385451860146e-07,-9.679999999999999e-07,5.56239512005255e-07,9.679999999999999e-07,2.7034256918164243e-13,success
9,2,7.160137736717388e-08,2.2895134866724646e-07,-6.004000403286056e-07,-9.679999999999999e-07,6.522333268847349e-07,5.506277465566005e-07,1.3589933098199669e-13,success
9,3,7.396540883157596e-08,9.679999999999999e-07,-9.109622378179707e-07,-9.679999999999999e-07,9.679999999999999e-07,5.963308849814842e-07,1.7166815092742278e-13,success
9,4,-4.214462196040275e-07,9.679999999999999e-07,-7.44111617635317e-07,-9.679999999999999e-07,4.989523170859494e-07,4.925714907946832e-07,8.58845245668447e-14,success
9,5,4.005483512406538e-07,4.1105597024385e-07,-4.1665494248482985e-07,-3.3939616318050297e-07,3.901445238312761e-07,8.491096435010815e-07,1.9426969281016565e-13,success
9,6,9.679999999999999e-07,7.23731823435129e-07,-9.679999999999999e-07,-9.679999999999999e-07,7.987614831880983e-07,5.921369169108031e-07,2.1027283529986112e-13,success
9,7,5.629213513934973e-07,4.819434864723883e-07,-9.679999999999999e-07,-9.679999999999999e-07,9.679999999999999e-07,9.534117848500321e-07,2.5676270071506775e-13,success
9,8,9.554188389294774e-08,9.679999999999999e-07,-6.428014436458197e-07,-7.470724897827257e-07,8.978620434907112e-07,6.006894886127288e-07,1.6958812813363218e-13,success
9,9,4.6617656926284354e-07,9.627577894563297e-07,-5.590605328417973e-07,-7.693600734417004e-07,3.232901856217698e-07,9.679999999999999e-07,1.7104346180581672e-13,success
9,10,5.653866656637318e-07,9.679999999999999e-07,-6.432499906514562e-07,-5.450121707473598e-07,9.679999999999999e-07,5.385309224462491e-07,2.2718894629971082e-13,success
10,1,6.236227549302935e-07,8.137020962779887e-07,-8.050822315936849e-07,-9.363695443677625e-07,6.709179052730954e-07,4.738600337659898e-07,1.721683389643923e-13,success
10,2,3.2902196393068157e-07,-5.6544670229055234e-08,-3.243765925486506e-07,-4.816887661542999e-07,9.679999999999999e-07,9.679999999999999e-07,0.0,invalid_triangle_side
10,3,2.1924387392207564e-07,8.061860181863965e-07,-8.032043524247795e-07,-9.079729889012243e-07,4.729468471578199e-07,9.679999999999999e-07,3.8535522443621225e-13,success
10,4,2.1826662350489123e-08,7.770983316262742e-07,-9.679999999999999e-07,-5.814649554224755e-07,9.54161823753902e-07,4.156586372257449e-07,1.1857815083546212e-14,success
10,5,3.9509511679651273e-07,9.017256173629369e-07,-9.25178487694078e-07,-9.679999999999999e-07,4.526614401244662e-07,7.549217677776311e-07,3.034932755769634e-13,success
